parentEventID,eventID,eventDate,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,footprintWKT,footprintSRS,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,islandGroup,stateProvince,county,municipality,locality,remarks
IPB-2014AA-AJ001,IPB-2014AA-AJ001-UVC001,2014-3-14/2014-3-15,Underwater Visual Census,Direct visual record and count,"58,65",meter2,TR 1,,,5.74800556°,106.59666667°,WGS84,ID,Jawa,DKI Jakarta,Pulau Seribu,,,
IPB-2014AA-AJ001,IPB-2014AA-AJ001-UVC002,2014-3-14/2014-3-15,Underwater Visual Census,Direct visual record and count,"136,9",meter2,TR 2,,,5.74796667°,106. 59694444°,WGS84,ID,Jawa,DKI Jakarta,Pulau Seribu,,,
IPB-2014AA-AJ001,IPB-2014AA-AJ001-UVC003,2014-3-14/2014-3-15,Underwater Visual Census,Direct visual record and count,"115,8",meter2,TR 3,,,5.74803889°,106.59888889°,WGS84,ID,Jawa,DKI Jakarta,Pulau Seribu,,,
IPB-2014AA-AJ001,IPB-2014AA-AJ001-UVC004,2014-3-14/2014-3-15,Underwater Visual Census,Direct visual record and count,"78,15",meter2,TR 4,,,5.74800833°,106.59972222°,WGS84,ID,Jawa,DKI Jakarta,Pulau Seribu,,,
IPB-2014AA-AJ001,IPB-2014AA-AJ001-UVC005,2014-3-14/2014-3-15,Underwater Visual Census,Direct visual record and count,"125,65",meter2,TR 5,,,5.74785278°,106.60000000°,WGS84,ID,Jawa,DKI Jakarta,Pulau Seribu,,,
IPB-2016AF-AJ002,IPB-2016AF-AJ002-QS011,2016-01,Quadrat sampling,"Sample collection from substrate, Sedgwick rafter Microtransect Counting Cell",10 x 10 cm plot in ten days,centimeter,wood,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2016AF-AJ002,IPB-2016AF-AJ002-QS012,2016-01,Quadrat sampling,"Sample collection from substrate, Sedgwick rafter Microtransect Counting Cell",10 x 10 cm plot in ten days,centimeter,fiber,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2016AF-AJ002,IPB-2016AF-AJ002-QS021,2016-02,Quadrat sampling,"Sample collection from substrate, Sedgwick rafter Microtransect Counting Cell",10 x 10 cm plot in ten days,centimeter,wood,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2016AF-AJ002,IPB-2016AF-AJ002-QS022,2016-02,Quadrat sampling,"Sample collection from substrate, Sedgwick rafter Microtransect Counting Cell",10 x 10 cm plot in ten days,centimeter,fiber,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2016AF-AJ002,IPB-2016AF-AJ002-QS031,2016-03,Quadrat sampling,"Sample collection from substrate, Sedgwick rafter Microtransect Counting Cell",10 x 10 cm plot in ten days,centimeter,wood,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2016AF-AJ002,IPB-2016AF-AJ002-QS032,2016-03,Quadrat sampling,"Sample collection from substrate, Sedgwick rafter Microtransect Counting Cell",10 x 10 cm plot in ten days,centimeter,fiber,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2012NY-AJ003,IPB-2012NY-AJ003-QS001,2012-01/2012-05,Quadrat sampling,sample collection with substrate,1 x 1,meter,stasiun1,,,,,,,Jawa,West Java,,,,
IPB-2012NY-AJ003,IPB-2012NY-AJ003-QS002,2012-01/2012-05,Quadrat sampling,sample collection with substrate,1 x 1,meter,stasiun2,,,,,,,Jawa,West Java,,,,
IPB-2012NY-AJ003,IPB-2012NY-AJ003-QS003,2012-01/2012-05,Quadrat sampling,sample collection with substrate,1 x 1,meter,stasiun3,,,,,,,Jawa,West Java,,,,
IPB-2008FF-AJ004,IPB-2008FF-AJ004-PS001,2007-08-01/2007-08-02,Purpossive sampling,sample collection from water using Peterson Grab,20 x 20,centimeter,stasiun1,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2008FF-AJ004,IPB-2008FF-AJ004-PS002,2007-08-01/2007-08-02,Purpossive sampling,sample collection from water using Peterson Grab,20 x 20,centimeter,stasiun2,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2008FF-AJ004,IPB-2008FF-AJ004-PS003,2007-08-01/2007-08-02,Purpossive sampling,sample collection from water using Peterson Grab,20 x 20,centimeter,stasiun3,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2008FF-AJ004,IPB-2008FF-AJ004-PS004,2007-08-01/2007-08-02,Purpossive sampling,sample collection from water using Peterson Grab,20 x 20,centimeter,stasiun4,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2008FF-AJ004,IPB-2008FF-AJ004-PS005,2007-08-01/2007-08-02,Purpossive sampling,sample collection from water using Peterson Grab,20 x 20,centimeter,stasiun5,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2008FF-AJ004,IPB-2008FF-AJ004-PS006,2007-08-01/2007-08-02,Purpossive sampling,sample collection from water using Peterson Grab,20 x 20,centimeter,stasiun6,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2008FF-AJ004,IPB-2008FF-AJ004-PS007,2007-08-01/2007-08-02,Purpossive sampling,sample collection from water using Peterson Grab,20 x 20,centimeter,stasiun7,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2008FF-AJ004,IPB-2008FF-AJ004-PS008,2007-08-01/2007-08-02,Purpossive sampling,sample collection from water using Peterson Grab,20 x 20,centimeter,stasiun8,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2008FF-AJ004,IPB-2008FF-AJ004-PS009,2007-08-01/2007-08-02,Purpossive sampling,sample collection from water using Peterson Grab,20 x 20,centimeter,stasiun9,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT011,2003-12,Quadrat transect,direct observation and count,1 x  1,meter,stasiun1,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT012,2004-01,Quadrat transect,direct observation and count,1 x  1,meter,stasiun1,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT013,2004-02,Quadrat transect,direct observation and count,1 x  1,meter,stasiun1,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT021,2003-12,Quadrat transect,direct observation and count,1 x  1,meter,stasiun2,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT022,2004-01,Quadrat transect,direct observation and count,1 x  1,meter,stasiun2,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT023,2004-02,Quadrat transect,direct observation and count,1 x  1,meter,stasiun2,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT031,2003-12,Quadrat transect,direct observation and count,1 x  1,meter,stasiun3,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT032,2004-01,Quadrat transect,direct observation and count,1 x  1,meter,stasiun3,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT033,2004-02,Quadrat transect,direct observation and count,1 x  1,meter,stasiun3,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT041,2003-12,Quadrat transect,direct observation and count,1 x  1,meter,stasiun4,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT042,2004-01,Quadrat transect,direct observation and count,1 x  1,meter,stasiun4,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT043,2004-02,Quadrat transect,direct observation and count,1 x  1,meter,stasiun4,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT051,2003-12,Quadrat transect,direct observation and count,1 x  1,meter,stasiun5,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT052,2004-01,Quadrat transect,direct observation and count,1 x  1,meter,stasiun5,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT053,2004-02,Quadrat transect,direct observation and count,1 x  1,meter,stasiun5,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT061,2003-12,Quadrat transect,direct observation and count,1 x  1,meter,stasiun6,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT062,2004-01,Quadrat transect,direct observation and count,1 x  1,meter,stasiun6,,,,,,,Jawa,DKI Jakarta,,,,
IPB-2004AP-AJ005,IPB-2004AP-AJ005-QT063,2004-02,Quadrat transect,direct observation and count,1 x  1,meter,stasiun6,,,,,,,Jawa,DKI Jakarta,,,,
